model,run_id,phase,k,p,branch_layers,recurrency,hidden_size,n_fft,hop_length,subband_preset,epochs,best_epoch,lr_scheduler,val_final_accuracy,test_final_accuracy
fast_learning_rnn_sumfusion,bonus_phase3_p2_full_0_2_2_4_4_6_6_8_nfft512_hop64_k2_R3_H256,phase3,2,,,3,256,512,64,p2_full_0_2_2_4_4_6_6_8,30,22,gated_plateau,0.9222523173114459,0.9101318050004958
fast_learning_sumfusion,phase1_nfft512_hop64_k0_L3_H128,phase1,0,1,3,,128,512,64,p3_default,30,29,phased,0.9203487039388701,0.910040935674942
fast_learning_sumfusion,phase1_nfft512_hop64_k1_L4_H128,phase1,1,1,4,,128,512,64,p3_default,30,29,phased,0.9170424247979998,0.9078601016504338
fast_learning_sumfusion,phase1_nfft512_hop64_k2_L4_H128,phase1,2,1,4,,128,512,64,p3_default,30,30,phased,0.9236549857013654,0.9068605568613696
fast_learning_sumfusion,phase1_nfft512_hop64_k2_L2_H128,phase1,2,1,2,,128,512,64,p3_default,30,29,phased,0.9176435610261712,0.9064970915559095
fast_learning_sumfusion,phase1_nfft512_hop64_k0_L2_H128,phase1,0,1,2,,128,512,64,p3_default,30,29,phased,0.9147380411463669,0.9059518864348713
fast_learning_sumfusion,phase1_nfft512_hop64_k2_L4_H256,phase1,2,1,4,,256,512,64,p3_default,30,29,phased,0.9241559367991559,0.9052249372465835
fast_learning_sumfusion,phase1_nfft512_hop64_k0_L4_H128,phase1,0,1,4,,128,512,64,p3_default,30,30,phased,0.916240899796453,0.9044071322730973
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k2_R2_H128,phase1,2,,,2,128,512,64,p3_default,30,28,gated_plateau,0.9144374773827455,0.9037710578265054
fast_learning_sumfusion,phase1_nfft512_hop64_k1_L2_H128,phase1,1,1,2,,128,512,64,p3_default,30,29,phased,0.9172428059274574,0.902953247436877
fast_learning_sumfusion,phase1_nfft512_hop64_k1_L3_H128,phase1,1,1,3,,128,512,64,p3_default,30,28,phased,0.9142370936436066,0.9013176293656914
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k0_R3_H128,phase1,0,,,3,128,512,64,p3_default,30,27,gated_plateau,0.91133156600642,0.900227219123615
fast_learning_sumfusion,phase1_nfft512_hop64_k2_L3_H128,phase1,2,1,3,,128,512,64,p3_default,30,27,phased,0.9176435597123728,0.9001363525061323
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k0_R4_H128,phase1,0,,,4,128,512,64,p3_default,30,27,gated_plateau,0.9095281444407097,0.8993185339922907
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k1_R3_H128,phase1,1,,,3,128,512,64,p3_default,30,30,gated_plateau,0.9078249124125768,0.898228115626001
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k1_R4_H128,phase1,1,,,4,128,512,64,p3_default,30,30,gated_plateau,0.9074241472931642,0.8981372544246606
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k2_R4_H128,phase1,2,,,4,128,512,64,p3_default,30,30,gated_plateau,0.9110309999794822,0.8979555130654819
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k1_R2_H128,phase1,1,,,2,128,512,64,p3_default,30,30,gated_plateau,0.9105300451791689,0.8965925083870998
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k2_R3_H128,phase1,2,,,3,128,512,64,p3_default,30,24,gated_plateau,0.9095281427686026,0.8962290310848848
fast_learning_sumfusion,phase1_nfft512_hop64_k0_L4_H256,phase1,0,1,4,,256,512,64,p3_default,30,28,phased,0.9116321381186331,0.8949568767755587
fast_learning_rnn_sumfusion,phase1_nfft512_hop64_k0_R2_H128,phase1,0,,,2,128,512,64,p3_default,30,30,gated_plateau,0.9092275719582443,0.8920491071031181
fast_learning_sumfusion,phase1_nfft512_hop64_k1_L4_H256,phase1,1,1,4,,256,512,64,p3_default,30,27,phased,0.8977056849266792,0.885688368053341
